,title,date,author,rating,content
0,"Glen Moray 10 yo 'Fired Oak' (40%, OB, +/-2020) 
","July 14,  2021",Serge,SGP:351 - 78 points.," This baby's said to have been inspired by bourbon. What a funny idea. It's been finished in heavily charred American oak, not too sure if they've pushed it to alligator-grade burning. Oh and no chardonnay this time (WF 79). Colour: straw. Nose: absolutely not the sweetness and mellowness of bourbon, no caramel, no toffee, no big vanilla, no popcorn and no coconut or even rye-y touches, rather a very dry grassy and rooty combination, with a little fresh ginger and turmeric, then bags of autumn leaves and rather walnut skins. A little Campari. Mouth: same feeling, it is not sweet and rounded, rather on heavyish cinnamon and bitter herbs before it would, indeed, become a little more vanilla-ed, with some citrus. Some sawdust, pencil shavings, more grass. Finish: not that short but grassy. Pears. Comments: pretty okay. The price remains rather budgety (S.!) Not a bad drop at all. "
1,"Glen Moray 12 yo 2008/2020 (49.5%, Fadandel.dk, 1st fill oloroso quarter cask, cask #28B, 135 bottles) 
","July 14,  2021",Serge,SGP:461 - 86 points.," Colour: light gold. Nose: very nutty sherry, with a mix of walnut cake and chicory coffee. Some toffee too, touch of muscovado, a pinch of ground clove, and a little ras el hanout. That's all very fine and very well, this has been well made, with modern (albeit good) wood technology. Mouth: rich, spicy, very good if you like deep walnut liqueur and, indeed ras el hanout. More toffee and butterscotch too, fudge, café latte, even touches of garam masala. All is well. Finish: long, with even more walnuts, green ones this time, and a little curry perhaps. Comments: feels mike some charring's been going on, which seems to have worked extremely well. "
2,"Glen Moray 12 yo 2007/2020 (53.6%, Golden Cask, bourbon, cask #CM258, 204 bottles) 
","July 14,  2021",Serge,SGP:441 - 85 points.,"Colour: white wine. Nose: this one's all natural, totally spirit-driven, and really rather on grist and porridge, leaven bread, sourdough, wet plaster… Apples in the background. With water: more of all that, with perhaps more fruits, rather around shy ones, starfruits, gooseberries, greengages… Mouth (neat): very solid malt, on grapefruits, beer, bread and touches of yeast. Viva la nature! With water: surely less complex than the ex-oloroso, which is normal, but there's something very honest to this, something very… yeah, natural. Finish: same. Medium length, green fruits and bread doughs. Comments: it does not quite bring the house down, but I enjoy this style and appreciate the honesty in here. If you see what I mean… "
3,"Glen Moray 2007/2019 (46%, Scyfion Choice, Foursquare finish, 97 bottles) 
","July 14,  2021",Serge,SGP:541 - 85 points.," There's a lot of literature on the back label but I'm afraid it's written in Cyrillic, since this is an Ukrainian bottling. Let's try this wee mixed (not sham) marriage… Colour: straw. Nose: the whisky's kept the upper hand, which is all that counts in my book. Ale, baguette and leaven bread, touch of butter, then apple pie, damson tarte, and then indeed notes of rum, rather around bananas flambéed and just rum baba. Blends well but to be honest, good malt whisky and Foursquare are not, in my book, complete strangers to each other. I mean philosophically. Mouth: a tad tenser and bitterer perhaps, with a faint feeling of toothpaste (mint, eucalyptus), then good well-behaved fruits, around apples and green bananas. Finish: long, on similar notes, with some unexpected touches of salt in the aftertaste. This one plays with your lips. Comments: a very excellent wee variant. "
4,"Glen Moray 2007/2019 (50%, Scyfion Choice, Areni Noir finish, 132 bottles) 
","July 14,  2021",Serge,SGP:541 - 83 points.,"Tell me about a lousy wine enthusiast, would you believe that I had never, ever heard of Areni Noir? What I'm gathering is that it was an extremely old high-altitude Armenian varietal that's now been replanted. Sure the term 'noir' sounds a little French, but I do not think Areni Noir's ever been planted in my sometimes strange home country. Colour: onion peel, or 'partridge eye' (oeil de perdrix). Nose: the thing is, Glen Moray's no Ardbeg or Clynelish, so I would say it could take any finishing without many risks. In this case, and that's not only because of the colour, we're not that far from a rosé de Provence. So sure it smells a little vinous. With water: more than okay, it is pretty nice. Reminds me of Belgian Kriek beer, not only because of the colour. Mouth (neat): pretty good, doesn't quite feel like a premix, rather like if someone had thrown raspberries into the mash. So it remains whisky and I am not totally against this. Even if it's not my preferred style of whisky, naturally. With water: not bad at all, on the contrary. Sweet, malty, grapey. Finish: same with a peppery, also almost stalky side. Some liquorice too. Comments: I'm not saying I would choose this over Clynelish 1965, but there, it's a nice drop with a real feeling of 'some place'."
5,"Glen Moray 18 yo 2001/2020 (56.7%, Scotch Malt Whisky Society, 1st fill bourbon barrel, #35.265, 'Meditation Medication', 181 bottles) 
","July 14,  2021",Serge,SGP:641 - 86 points.," Meditation Medication, ha, I suppose that one was too good to miss and after all, both alliterations and rich rhymes do not kill anyone anymore. Colour: straw. Nose: I'm not sure we'd feel the older age, but it's got good flints, grist, chalk, weissbeer, then vanilla and 'barrel mangos'. I think it's pretty nice. With water: jelly babies, marshmallows, vanilla and orange cakes. The very spongey ones… Mouth (neat): really very good, rounder, yet tight, with a little varnish plus pear and pineapple liqueurs, and indeed rather a lot of vanilla. Foam bananas (apologies, dear SMWS). With water: swims extremely well. Fruit salad, fruit cake, jellybeans, earl grey, touch of cherry mints. Finish: of good length, sweet, fruity, bonbony. Comments: very good, very easy, very docile, very versatile. "
6,"Glen Moray 24 yo 1995/2020 (53.5%, Scotch Malt Whisky Society, The Gathering, 1st fill bourbon barrel, #35.259, 'Rumtopf, birnenbrot and stollen', 222 bottles) 
","July 14,  2021",Serge,SGP:641 - 85 points.,"Sweet Wotan, shouldn't they have rather named this one 'Rumtopf, Birnenbrot Und Stollen'? Hoppla… Colour: light gold. Nose: I cannot not think of Glenmorangie here. Very soft, mellow, on soft banana cream, sponge cake, Jaffa cakes, overripe apples… Really the style of a malt that hasn't got much character, without being empty at all. Pears. Those tall stills, you know (we're talking 'bout Glenmo). With water: bonbons and Grand-Marnier, with a drop of gentian spirit. Which, as you very well know, will cure anything. Mouth (neat): tighter than expected and really totally on stewed orchard fruits. Mirabelles, apples, pears, plums, peaches, etc. plus some barley syrup. With water: williams pears, mirabelles, perhaps guavas, plus light corn bread and a drop of coconut water. Finish: short to medium, rather caky and very soft. Finger biscuits dipped into real Champagne (not shampanskoye, dear Mr Putin). Comments: another relatively lighter old Glen Moray. Not mindboggling, but very good."
7,"Glen Moray-Glenlivet 20 yo 1977/1997 (63%, Cadenhead, Authentic Collection) 
","July 14,  2021",Serge,SGP:462 - 70 points.," As I sometimes say, it's reassuring to learn from the label that CAD are using oak casks and not plywood straight from Ikea or, sob, Home Depot. Colour: light gold. Nose: it was a fatter, but also a feintier spirit, more on craft beer, low wine, sour fruit juice, fermenting cherries, whey, fermenting bananas… What an adventurous nose! With water: wood glue! Not sure we should have added water, my friend. Mouth (neat): oh the good old times when quality control was done at the pub. This is really extra-wacky, sour and acidic, very fermentary, with some metallic sides and something that's just not right. Anti-rust paint? Plastic? With water: doesn't improve mucho, except that you'll find more elderberry liqueur and some dried fermented litchis. Which is all an acquired taste, I would add. Finish: medium, on something like sweet wine that started to referment – or something. Fish oil, toothpaste, paper and carbon in the aftertaste. Comments: ah the good old times of free whisky. I mean, free whisky as in free jazz. It's got something very charming, but on the other hand, let's remain honest… "
8,"Caol Ila 3 yo 2018/2021 (52.1%, The Whisky Jury, quarter cask, cask #Twj-ci03, 152 bottles) 
","July 13,  2021",Serge,SGP:646 - 87 points.," Their cask numbers make me laugh. Don't we need laughter? But boy, three years of maturation, I mean the pot-stills are still warm and the cask wet… Colour: white wine. Nose: right. Green bananas, Roquefort, yoghurt, green pepper, pepper-and-salt mix, seawater, green smoke (garden bonfire), model glue, antiseptic, nail varnish… With water: more pear, then caraway, aniseed and mint. Clearly a little, ach, err, har, 'young'. Mouth (neat): green pears, seawater and almond milk, plus pepper and gentian. With water: bubblegum, jelly babies (pear flavour), papaya gum, and an unexpectedly soft smokiness. Liquorice allsorts and citron liqueur. Finish: medium, well balanced, rather sweet than monstrously peaty. Latex and whelks in the aftertaste. Comments: sometimes, infant peaters react extremely well to heavy doses of sweet active oak. This is another good example. Oh and it's a fun bottling. "
9,"Caol Ila 7 yo 2011/2018 (60%, Fadandel, 1st fill Entre-deux-mers, cask #900056, 307 bottles) 
","July 13,  2021",Serge,SGP:557 - 87 points.,"To be honest I didn't even know they were using oak to mature Entre-deux-mers, which is a very moderately reputed dry white Bordeaux. On the other hand, it's probably been rather harmless. Colour: gold. Nose: no wine that I can find at this point, rather a pristine, clean, young Caol-Ilaness. Seawater, oysters, smoke, clams, kelp, ashes, a little fat. With water: iodine and mercurochrome. How expected and anticipated. Mouth (neat): typical sweet smoky arrival, getting on green lemons and oysters, with some cigar ashes in the background. With water: very tight, acidic, green, with some green oils, perhaps even a touch of mezcal. Nothing not to like. Pink grapefruits. Finish: long, bright, blade-y. Perhaps, indeed, a few drops of white cognac, or blanche d'armagnac. Comments: no quibbles, this is awesome. Entre-deux-mers you say, okay… By the way, this is more proof that CI is not any less 'peaty' than its buddies on the south shore of the island. "
10,"Caol Ila 8 yo 2013/2021 (54.2%, Fadandel, 1st fill PX octave finish, cask #301321, 66 bottles)  
","July 13,  2021",Serge,SGP:656 - 85 points.," A PX octave finish? Should I really try this lousy thing? Why not strawberry-flavoured Pringles? Coal-tar-smoked Doritos? Sounds like the stuff they would sell on EasyJet flights, no? Colour: gold. Nose: the thing is, Caol Ila can handle anything. Butterscotch, rancio, lime juice, raisins, deep-smoked bacon, brine… With water: bright smoky lemons and seawater. No lousy PX that I can detect. Must be me… Mouth (neat): unlikely but good. Dates, Parma ham, pineapples, liquorice, tar, tobacco ashes… This is not totally normal but s***w the norms. With water: pretty good, let's say a young Caol Ila with more fudge and raisins than usual. The PX feels more once you've reduced this wee baby. Finish: rather long, sweet and raisiny but it has not lost all of its proverbial brightness. Comments: a very cool wee bottling, getting just a little stuffy (well, sweet) towards the aftertaste. "
11,"Caol Ila 10 yo 2010/2021 (57.9%, Single Malts of Scotland, Elixir Distillers, hogshead, cask #319920, 317 bottles) 
","July 13,  2021",Serge,SGP:566 - 88 points.," Colour: petit Chablis ;-). Nose: ultra-clean, minimal, almost Japanese, or perhaps 'Bauhaus' style Caol Ila, with nothing showing except kippers, oysters, mercurochrome and 'an ashtray'. With water: crushed chalk, wool, damp magazines. Mouth (neat): ueber-blade-y indeed. Tart, smoky, lemony, chalky, with pink pepper, well this one doesn't forgive. With water: a wee tad sweeter, otherwise similar. Textbook young peater of utter, unquestionably high quality. Finish: long. Once again, a lovely blade. Comments: some extra-points for this plain and utter purity that, indeed, would remind us of the best Chablis from a 'cool' vintage. I agree, there's Chablis and there's Chablis. "
12,"Caol Ila 12 yo 2008/2021 (54.8%, Fable Whisky, The Ghost Piper of Clanyard Bay, Chapter One, hogshead, cask #309952, 294 bottles) 
","July 13,  2021",Serge,SGP:367 - 89 points.," Boy do I love these labels, even if this very one would rather look a tad Oaxacan. Is this mezcal in disguise? It's true that between young CI and good mezcal, there are bridges; no, really. Colour: white wine. Nose: totally in the style of the Elixir, just even tighter and more austere. Flints, chalk, ashes, porridge, iodine, green lemons, crushed oyster shelves (that's a good fertiliser). With water: ultra-tight, grassy, lemony, ashy, smoky, chalky. Mouth (neat): shakes your spine and hits you right between your eyes. A tad brutal when unreduced, perhaps, and really very brine-y. Eating around 100 gherkins in a row. With water: unnegotiable. Ultra-tight. Finish: same. Count your vertebras. Comments: I'm not sure any distillers could go ay farer as far as smoky and tart tightness is concerned. "
13,"Caol Ila 1978/1989 (55%, R.W. Duthie for Samaroli)  
","July 13,  2021",Serge,SGP:467 - 94 points.,"This is one of the famous 'oval labels' but naturally, the extraordinary 1968 is the most famous of them (WF 96). So, this one was distilled shortly after they had rebuilt, extended, and restarted the distillery. Colour: light white wine. Nose: naturally, the #1 question is 'what's the difference' between this and the newer ones. The answer is that this would be both more mineral and grassier, and less 'brutally smoky and coastal'. Besides, you wouldn't quite know about what's only the consequence of bottle ageing. What's obvious is that this nose is more complex, with more lamp oils, polishes, fresh almonds and pine nuts, ink, gums, linseed oil, other oils, also anything camphory and ointmenty (I apologise), while we'd even find notes of beef grease and mutton suet. Yeah, Belgian French fries. With water: we're on pine saps and resin and retsina and stuff. Raw Islay lambswool. Mouth (neat): amazingly ueber-peated, with a spectacular and unexpected herbal side. Loud verbena and old green chartreuse. Bang. With water: there, the coastal side, sardines and anchovies, oysters, samphires, spirulina, then lemons and limes. Then metal polish, ink, wee hints of Brussels sprouts perhaps… Finish: very long, more on green citrus. Lime and green grapefruit. Cough syrup in the aftertaste. Comments: exceptional young whisky. Samaroli was a master at bottling young to very young whisky, letting it mature in glass for a few decades, and then just stunning you. That's playing with time and with the philosophical aspects of whisky… Remember, whisky is TIME (Ed: hold your horse, S.) "
14,"Balblair 8 yo 2011/2020 (54.8%, Dram Mor, 1st fill PX, cask # 359004) 
","July 12,  2021",Serge,SGP:361 - 80 points.," It's first fill PX but according to the very light colour, it did not go into extremes. Phew. Colour: white wine. Nose: boy is it hot, raw and eau-de-vie-ish! Isn't this actually artisanal kirschwasser straight from an old Holstein? Also blackcurrant buds, hot porridge (50% porridge, 50% moonshine, a perfect breakfast), sour cherries, grape stalks… I suppose water would be mandatory here. With water: typical whiffs of rubber and paraffin, plus fresh leaven bread. This is really raw, but I rather like leaven bread. Mouth (neat): more raw kirsch spirit, this time with pears as well, raw wine brandy, marc… all that with a long cut. With water: there, garden fruits, around green plums and more sour cherries. A touch of lemon skin, green pears... Finish: medium, grassier. Stalks, stems and pips. Comments: totally raw style, with a PX that's as expressive as Bill Wyman. PX, really? Needs water. "
15,"Balblair 2005/2021 (48.5%, OB for The Whisky Exchange, cask #213, 180 bottles) 
","July 12,  2021",Serge,SGP:461 - 86 points.," The earlier official 2005/2016 was very good but it was too young too and rather akin to eau-de-vie de barley indeed (WF 83). A few more years may have helped… Colour: white wine. Nose: well, it is still raw and indeed eau-de-vie-ish, without the kind of fruity bonanza that used to happen with earlier Balblairs, on the other hand these notes of coconut balls, marzipan and thin mints work very well, they 'lift' it. Some hops too, pink grapefruits… in moderation. No fruit bomb here, but it keeps improving, getting even to gentian and other rooty/earthy delicacies. Mouth: same feelings as with the nose, starts a little raw and grassy, if not a wee tad feinty, but vanilla, coconut, zucchini flowers, crystallised violets and once again pink grapefruits and hops are soon to come to the rescue. A two-step malt, really, so please do not rush it. Finish: some rawer grassiness is back and would come together with green, bitter pears and apples. Barley syrup in the aftertaste, perhaps even agave syrup. Or there, gentian syrup! Comments: this one loves to play with you, it's a real kitten. A kitten with long claws… "
16,"Foursquare 10 yo 2010/2021 (52.8%, Liquid Treasures, Barbados, Rum Session 9, Sauternes finish, 293 bottles)  
","July 11,  2021",Serge,SGP:641 - 85 points.," I suppose this is a single blend Foursquare but not sure (batch + continuous). Colour: brownish amber. Nose: I don't know if that's the Sauternes but this one seems to be rather richer and fatter, and more jammy than others. It seems that the 'moderately heavy' style of FS does let the sweet wine sing pretty loud, in this case rather with mirabelle jam and quinces. Raisin rolls too. What's funnier yet is that the combination could let you believe this is cane juice-led agricole from Martinique. But then again, I'm no expert, I'm easily misled. With water: more agricoleness, with some café latte too. But really, you would have said Martinique and would have replied 'spot on'. Mouth (neat): indeed, the combo seems to have worked very well, except that what was possibly newish French oak seems to have made this pretty spicy and bitter. A little varnishy too. Let's see what water does to it… With water: no, cancel that, water makes it much more playful, sweeter, a tad thinner too (column). Jelly baby vodka, orange liqueur… Finish: medium, with more tea again, possibly from the Sauternes wood. Comments: a funny one that keeps changing. But does good rum need wine? To be discussed… "
